time; o_metric; dfl_metric; v_metric; fit_cluster
4.288;  0.929425; 0.330011; 0.198046; 0.0607447
4.304;  0.929108; 0.330048; 0.199693; 0.0612359
4.32;  0.929694; 0.33008; 0.196133; 0.0601881
4.336;  0.929225; 0.330107; 0.196959; 0.0604159
4.352;  0.930276; 0.330155; 0.185684; 0.0570301
4.368;  0.931094; 0.330197; 0.190668; 0.05862
4.384;  0.931804; 0.330231; 0.193397; 0.0595104
4.4;  0.932042; 0.330269; 0.193899; 0.0596869
4.416;  0.932271; 0.330305; 0.194099; 0.0597696
4.432;  0.932417; 0.330343; 0.195435; 0.0601975
4.448;  0.933269; 0.330382; 0.194339; 0.0599214
4.464;  0.932557; 0.330408; 0.197674; 0.060908
4.48;  0.932086; 0.330436; 0.199083; 0.0613167
4.496;  0.932145; 0.330462; 0.196481; 0.0605238
4.512;  0.933874; 0.330504; 0.188544; 0.0581941
4.528;  0.934489; 0.330547; 0.18889; 0.0583466
4.544;  0.935569; 0.33059; 0.183562; 0.056774
4.56;  0.936447; 0.330628; 0.188926; 0.0584944
4.576;  0.937583; 0.330672; 0.188903; 0.0585659
4.592;  0.938543; 0.33072; 0.188894; 0.0586319
4.608;  0.939706; 0.330767; 0.183795; 0.0571278
4.624;  0.93866; 0.330787; 0.196254; 0.0609362
4.64;  0.939952; 0.330821; 0.189708; 0.0589908
4.656;  0.941353; 0.330866; 0.186633; 0.0581292
4.672;  0.940764; 0.330901; 0.191141; 0.0595023
4.688;  0.940016; 0.330944; 0.198055; 0.0616136
4.704;  0.940501; 0.330988; 0.190194; 0.0592063
4.72;  0.940079; 0.331025; 0.190898; 0.0594057
4.736;  0.940272; 0.331067; 0.190314; 0.0592434
4.752;  0.940133; 0.331104; 0.192217; 0.0598334
4.768;  0.94075; 0.331133; 0.19196; 0.0597981
4.784;  0.94119; 0.331159; 0.190556; 0.0593932
4.8;  0.942223; 0.33119; 0.193278; 0.0603134
4.816;  0.943434; 0.331232; 0.184971; 0.0578027
4.832;  0.943501; 0.331266; 0.191521; 0.0598597
4.848;  0.944626; 0.331296; 0.189239; 0.0592225
4.864;  0.944366; 0.331328; 0.185683; 0.0580994
4.88;  0.946265; 0.331367; 0.187579; 0.0588174
4.896;  0.946288; 0.331396; 0.195301; 0.0612458
4.912;  0.946547; 0.331428; 0.193859; 0.0608158
4.928;  0.947937; 0.331466; 0.184725; 0.0580421
4.944;  0.947274; 0.331488; 0.1934; 0.0607297
4.96;  0.946691; 0.331513; 0.193861; 0.0608412
4.976;  0.946731; 0.331542; 0.193635; 0.0607783
4.992;  0.946546; 0.331568; 0.19469; 0.0611024
5.008;  0.946938; 0.331603; 0.189837; 0.0596102
5.024;  0.946597; 0.331632; 0.191368; 0.0600745
5.04;  0.947122; 0.331677; 0.190775; 0.05993
5.056;  0.948566; 0.331713; 0.187333; 0.0589448
5.072;  0.94904; 0.33175; 0.186032; 0.058571
5.088;  0.949302; 0.33179; 0.185922; 0.0585596
5.104;  0.950487; 0.331831; 0.184845; 0.0583003
5.12;  0.9512; 0.331877; 0.183421; 0.0579024
5.136;  0.950118; 0.331891; 0.193978; 0.0611683
5.152;  0.948925; 0.331922; 0.194926; 0.0613958
5.168;  0.949859; 0.331967; 0.187571; 0.0591453
5.184;  0.951034; 0.332009; 0.176893; 0.0558542
5.2;  0.951512; 0.332039; 0.191143; 0.0603895
5.216;  0.952028; 0.332077; 0.188759; 0.0596754
5.232;  0.952093; 0.332117; 0.190893; 0.0603618
5.248;  0.95237; 0.332159; 0.193033; 0.0610637
5.264;  0.952172; 0.332197; 0.192918; 0.0610219
5.28;  0.952251; 0.33223; 0.189232; 0.0598665
5.296;  0.95319; 0.332278; 0.184141; 0.0583219
5.312;  0.953018; 0.33232; 0.185338; 0.0586977
5.328;  0.953272; 0.332358; 0.18794; 0.0595447
5.344;  0.953595; 0.332391; 0.184501; 0.0584806
5.36;  0.953406; 0.332438; 0.178793; 0.0566682
5.376;  0.953892; 0.332483; 0.182471; 0.0578711
5.392;  0.953536; 0.332524; 0.187688; 0.0595109
5.408;  0.954041; 0.332569; 0.187813; 0.0595902
